delta_theta_deg,hip_deg,knee_deg,wheel_tau,com_x,height
55.0,-18.822548134318613,-36.83034813431861,1.3183898417423734e-15,0.0,0.5047043606101167
56.0,-20.03919007510572,-39.046990075105725,1.0824674490095276e-15,0.0,0.5013379577397022
57.00000000000001,-21.25895051492381,-41.266750514923814,-3.3861802251067274e-15,0.0,0.4977756258991143
58.00000000000001,-22.48208900262691,-43.48988900262692,1.915134717478395e-15,0.0,0.49401738623932956
59.00000000000001,-23.70888087040647,-45.71668087040648,-1.3877787807814457e-16,0.0,0.4900632191755732
59.99999999999999,-24.939619065877864,-47.94741906587787,3.1363800445660672e-15,0.0,0.4859130557169399
61.0,-26.174616210206462,-50.18241621020647,3.3029134982598407e-15,0.0,0.4815667676189272
62.0,-27.414206919958445,-52.42200691995845,5.3013149425851225e-15,0.0,0.47702415617666083
63.0,-28.65875043763135,-54.666550437631365,3.9968028886505635e-15,0.0,0.4722849394406055
64.0,-29.908633624775316,-56.91643362477534,-3.469446951953614e-15,0.0,0.46734873759232315
65.0,-31.164274382716464,-59.17207438271643,3.497202527569243e-15,0.0,0.46221505616312997
66.0,-32.4261255797299,-61.4339255797299,1.1934897514720433e-15,0.0,0.4568832667104099
67.0,-33.69467958086959,-63.70247958086963,1.149080830487037e-14,0.0,0.45135258448102766
68.0,-34.97047349858978,-65.97827349858977,5.828670879282072e-15,0.0,0.4456220424836226
69.0,-36.2540953101924,-68.2618953101924,2.9531932455029164e-14,0.0,0.4396904612547173
70.0,-37.54619102391449,-70.55399102391446,1.9373391779708982e-14,0.0,0.43355641342821394
71.0,-38.847473121736144,-72.85527312173615,2.2426505097428162e-14,0.0,0.427218181991253
72.0,-40.15873056736084,-75.16653056736087,3.785860513971784e-14,0.0,0.4206737108139409
73.0,-41.48084074735524,-77.48864074735525,4.801714581503802e-14,0.0,0.4139205456514262
74.0,-42.814783819320155,-79.82258381932016,6.855627177060342e-14,0.0,0.40695576329922656
75.0,-44.161660083518214,-82.16936232340299,9.447997939560082e-14,0.0,0.3997761559022134
